"","mobile_s3","opr"
"1","130","unicom"
"2","131","unicom"
"3","132","unicom"
"4","133","telecom"
"5","134","mobile"
"6","135","mobile"
"7","136","mobile"
"8","137","mobile"
"9","138","mobile"
"10","139","mobile"
"11","145","unicom"
"12","147","mobile"
"13","149","telecom"
"14","150","mobile"
"15","151","mobile"
"16","152","mobile"
"17","153","telecom"
"18","155","unicom"
"19","156","unicom"
"20","157","mobile"
"21","158","mobile"
"22","159","mobile"
"23","171","unicom"
"24","172","mobile"
"25","173","telecom"
"26","175","unicom"
"27","176","unicom"
"28","177","telecom"
"29","178","mobile"
"30","180","telecom"
"31","181","telecom"
"32","182","mobile"
"33","183","mobile"
"34","184","mobile"
"35","185","unicom"
"36","186","unicom"
"37","187","mobile"
"38","188","mobile"
"39","189","telecom"
